Image	Sentiment
742.jpg	positive
743.jpg	positive
744.jpg	positive
745.jpg	positive
746.jpg	positive
747.jpg	positive
748.jpg	positive
749.jpg	positive
750.jpg	positive
751.jpg	negative
752.jpg	positive
753.jpg	positive
754.jpg	positive
755.jpg	negative
756.jpg	positive
757.jpg	positive
758.jpg	positive
759.jpg	positive
760.jpg	positive
761.jpg	negative
762.jpg	negative
763.jpg	positive
764.jpg	positive
765.jpg	positive
766.jpg	negative
767.jpg	positive
768.jpg	positive
769.jpg	positive
770.jpg	positive
771.jpg	positive
772.jpg	positive
773.jpg	positive
774.jpg	negative
775.jpg	positive
776.jpg	positive
777.jpg	positive
778.jpg	positive
779.jpg	negative
780.jpg	positive
781.jpg	positive
782.jpg	positive
783.jpg	negative
784.jpg	positive
785.jpg	negative
786.jpg	positive
787.jpg	positive
788.jpg	positive
789.jpg	positive
790.jpg	positive
791.jpg	positive
792.jpg	positive
793.jpg	positive
794.jpg	positive
795.jpg	negative
796.jpg	positive
797.jpg	positive
798.jpg	positive
799.jpg	negative
800.jpg	positive
801.jpg	negative
802.jpg	positive
803.jpg	positive
804.jpg	negative
805.jpg	positive
806.jpg	positive
807.jpg	negative
808.jpg	positive
809.jpg	positive
810.jpg	positive
